NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*LIBRARY/MAINTENANCE,OPERACION,2024-12-02,60549,1.1848155690696847
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-12-02,3,4.694531528004289e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-12-02,11,0.0010895851192113683
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-10-21,2,3.3957111385897686e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-19,9,0.001470781079285317
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-24,13,0.0013974211999410369
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-25,11,0.0013826803709431027
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-27,11,0.0013541845645681165
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-28,11,0.0012005012507796838
*LIBRARY/MAINTENANCE,OPERACION,2024-10-27,51332,1.0903136792077384
*LIBRARY/MAINTENANCE,OPERACION,2024-11-02,54696,1.2235465182694023
*LIBRARY/MAINTENANCE,OPERACION,2024-11-03,54595,1.072893728012046
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-03,11,0.0012168851658124183
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-05,11,0.0009649140102660017
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-08,11,0.0013557807052876384
*LIBRARY/MAINTENANCE,OPERACION,2024-11-12,63420,1.2655729973050278
*LIBRARY/MAINTENANCE,OPERACION,2024-11-14,63635,1.3798721021830413
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-16,2,3.4270080154431307e-06
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-15,3,4.960554981257865e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-17,11,0.001205320969815101
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-21,5,8.810070834221381e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-11-24,53419,1.1021112403672593
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-24,2,3.536547084429898e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-23,11,0.0017076358433115604
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-30,10,0.001078036571652478
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-09-23,1,1.7213282269349059e-06
